Speaker_ID,Speaker_name,Speaker_party_name,Speaker_gender,Speaker_birth,Stance,Relevant_Speech
AntićZoran,"Antić, Zoran",Srpska napredna stranka,M,1962,FOR,"I want to say that it is extremely good, or at least I have that impression, that the Ministry of Police is constantly improving the work of the police. In several amendments to the law so far, we have had new organizational units, new procedures, new mechanisms within the ministry, and step by step, the Ministry of Police is approaching the civilized values that we have today in the EU. This is, in any case, the fight against organized crime and corruption, it is greater security for citizens, it is working with local communities, institutional reform, and European integration. Of course, when it comes to European integration, opening Chapter 24, we have the obligation to carry out strategic assessments, primarily in the area of organized crime at this moment, but there is still much to be done on that path, and this law creates an institutional framework to implement all the obligations we have undertaken towards the EU and the integrations that await us in the best possible way."
BanacGrozdana,"Banac, Grozdana",Partija ujedinjenih penzionera Srbije,F,1951,FOR,"You have done this perfectly and in the spirit of the 21st century, which I am very pleased about, as you have aligned everything with the European standards that are necessary for us to progress civilizationally, of course."
FilipovskiDubravka,"Filipovski, Dubravka",Nova Srbija,F,1967,NEUTRAL,"When drafting the law, the Working Group also cooperated with many non-governmental organizations, trade unions, international institutions, and primarily with the OSCE and the Council of Europe."
IlićStošićBiljana,"Ilić Stošić, Biljana",Srpska napredna stranka,F,1964,NEUTRAL,"Despite the conscious disregard of the fact that the proposed laws are being created in line with the European agenda, disinformation is consciously being spread in the public about the alleged narrowing of personal and other rights of citizens, especially during the debate on the Law on Public Gatherings."
JovanovićNeđo,"Jovanović, Neđo",Socijalistička partija Srbije,M,1962,FOR,"Of course, this coalition and this government, as a responsible government, have done a lot; it has brought Serbia to the doorstep of Europe, through whose doors Serbia will surely enter, and there is no doubt that everything that was not done in the period from 2008 to 2012 has been done now."""
KovácsElvira,"Kovács, Elvira",Savez vojvođanskih Mađara,F,1982,FOR,"Madam President, members of the presidency, Mr. Minister and your associates, ladies and gentlemen, Members of Parliament, first of all, on behalf of the parliamentary group of SVM, I would like to commend the Ministry of Internal Affairs (MUP) for their thorough work on the Draft Law on Police, taking into account the opinions of all relevant stakeholders, including the Council of Europe, the OSCE, and the expert public. The aim here is precisely to respect the principle of equal access to employment opportunities, which is one of the activities of the action plan for negotiating Chapter 23 with the EU. It is significant that the Draft Law on Public Gatherings is aligned with the recommendations of the Venice Commission and the OSCE Department for Democratization and Human Rights, as well as with relevant conventions, the European Convention on Human Rights and Fundamental Freedoms, and the Charter of Fundamental Rights of the EU."
MarinkovićVladimir,"Marinković, Vladimir",Socijaldemokratska partija Srbije,M,1976,FOR,"I would particularly like to highlight your liberal stance towards trade union organization and a completely commendable attitude towards the Convention and the respect for Convention 87, Convention 98 of the International Labour Organization, and of course, the European Social Charter, which represents a condition sine qua non for the development of relations, interpersonal relations, and relations between management and employees within an institution, organization, or company. I must particularly emphasize that Serbia is the only country in Europe where a special collective agreement for the police is in effect, which is precisely the result defined through constant dialogue with police employees, aiming to achieve the best possible solutions and optimal functioning of the police, and the definition of a clear, good, and quality security policy, which is ultimately also a condition for a good economic policy, and a prerequisite for overall economic and social development. Such a thing does not exist in any developed EU country, nor in the USA."
MiladinovićStefana,"Miladinović, Stefana",Socijalistička partija Srbije,F,1981,NEUTRAL,"In Europe, there are different approaches when it comes to prostitution, ranging from complete criminalization, partial decriminalization, to full legalization."
MilićevićĐorđe,"Milićević, Đorđe",Socijalistička partija Srbije,M,1978,FOR,"In our opinion, this is the basis and prerequisite for the fight for a better and European future, and in that fight, in our opinion, the whole society should provide support. When it comes to the Draft Law on Public Gatherings, I would say that it is completely clear and evident that we have a more liberal law that is in line with European standards."
ObradovićMarija,"Obradović, Marija",Srpska napredna stranka,F,1974,FOR,"Of course, time brings new challenges and some new threats, but also new expectations from citizens. The working group wrote this law modeled after developed European countries, based on how they organized work in their security services. It is very important that police work is modernized over time and that European standards are incorporated into our regulations. New types of work are emerging, which are now being performed in completely different ways. Therefore, it is not clear to me, but we will discuss it further when we talk about the details, why there is so much resistance to a solution that is so well crafted, modeled after European countries that implemented it long before us and are now compelling us to adopt this type of law through European negotiations."
OmerovićMeho,"Omerović, Meho",Socijaldemokratska partija Srbije,M,1959,NEUTRAL,"The Istanbul Convention, the famous Council of Europe convention on combating violence against women and domestic violence, which Serbia ratified as the eighth country in Europe, explicitly requires member states and signatories to align their laws as much as possible. To interfere with these rights, I believe that the stance of the European Court of Human Rights must have convincing and strong reasons because that same court, the European Court of Human Rights in Strasbourg, always examines in the cases it handles whether, in applying laws that restrict the right to public assembly, the state acted reasonably, carefully, and in good faith."
RakonjacVesna,"Rakonjac, Vesna",Srpska napredna stranka,F,1967,FOR,"Constitution, strategies for improving the status of women and advancing gender equality, conventions on eliminating all forms of discrimination, UN Council resolutions, as well as the practices of EU member states, have been incorporated into provisions that contribute to improving the status of women in the security system. Additionally, the responsibilities of the Police Directorate are expanding to include the adoption of a strategic assessment and a strategic plan, introducing a model of a unified planning system that would ultimately lead to the full implementation of an intelligence-led policing model, which is part of the EU's recommendations in the context of Chapter 24."
StefanovićNebojša,"Stefanović, Nebojša",Srpska napredna stranka,M,1976,FOR,"We certainly need to promote such people and strive to support those who are here today behind me, who perform their duties with complete professionalism and who have participated in drafting the law. I’m not sure who, upon seeing each other, has been more exasperated since this is about the fiftieth version of the law we have worked on. But it has shown that we have been receptive to advice both from within and outside, including from the non-governmental sector, professionals, various associations, and, ultimately, the EU, to which we aspire. We have tried to come up with something functional, not to create a Frankenstein law composed of all sorts of wishes and desires, which the people in blue (police officers) would then have to enforce, while we all say, ""Great, we've passed a law they can't enforce."""
StefanovićNebojša,"Stefanović, Nebojša",Srpska napredna stranka,M,1976,NEUTRAL,"The migration wave, the threat to many countries from terrorism—even in the most developed European states where such situations are possible—demands absolute professionalism from those engaged in this work. It is simply impossible for someone from local political structures to interfere, as this would completely undermine not just this law but the general tendencies of the EU. People are elected in the elections, and in that system, it can function that way. However, in a system where you want to apply European standards, like those in Sweden, which is moving towards consolidation—for example, Sweden used to have a much larger number of police administrations, and now they are reducing them to just one—local self-government must accept its part of the responsibility. That's why we advocated, and I hope when it arrives, I should say, from the European Commission's opinion—since it has been ready for several months now—the new Traffic Safety Law, to give authority to local self-government to, in cooperation with the police, install surveillance cameras and speed cameras, because local self-government also has a say in this."
StefanovićNebojša,"Stefanović, Nebojša",Srpska napredna stranka,M,1976,NEUTRAL,"I have carefully read the EU reports on Serbia, the progress reports from 2008 to 2015, with a special focus on the police, judiciary, and everything else. These are statements where you can see that the EU thought the worst of Serbia, though it did not want to say so brutally, but almost brutally. This is what the EU says, particularly regarding the state of the judiciary, which was the most difficult and the worst, but, of course, also concerning all other elements. Regarding the polygraph, I see there is still a fascination with it. However, as for the Ministry of Internal Affairs, in accordance with the law, we will continue to use this mechanism, just as all European police forces do, particularly the American FBI, which also uses it. This was also told to me by the FBI director, Mr. Comey, when he was here visiting, and they told me about the results and how they apply it both in recruitment and in the annual control of employees."
StefanovićNebojša,"Stefanović, Nebojša",Srpska napredna stranka,M,1976,FOR,"We worked on this law, consulted extensively, and largely due to the opinions of the European Commission, the introduction of this law before the National Assembly was postponed last year so that we could discuss it earlier. We were ready in June, but you know, if you want to follow the path of European integration, certain rules apply, and at that moment, you must play by those rules if you want to be part of a larger team."
StefanovićNebojša,"Stefanović, Nebojša",Srpska napredna stranka,M,1976,FOR,"Regarding the Ministry of Internal Affairs, through this draft law—through all three, but especially through the Law on Police—we felt the need to address problems pointed out by the citizens themselves, such as domestic violence, searching for missing persons, responding in situations of increased risk, and in cases where such requirements are part of the EU accession process, which is the intelligence-led policing model we aim to establish. We find ways to incorporate all innovations in a legally feasible manner, and for that, we are grateful for the cooperation and support we have received from the non-governmental sector, professional associations, the National Assembly, and all others who helped achieve European standards in drafting these laws."
StojkovićDušica,"Stojković, Dušica",Srpska napredna stranka,F,1979,FOR,"The Draft Law on Police was anticipated by the National Program for the Adoption of the EU Acquis, as previous governments and some former ministers of police failed to propose to the National Assembly of the Republic of Serbia. Additionally, this law incorporates certain positive practices from EU member states, particularly those provisions related to improving the position of women in the security system, who today successfully perform their professional duties side by side. For the first time in police practice, new means of force have been introduced, such as tasers, among other means of force, bringing Serbian police closer to the standards used by police in EU member states. Only then will we come closer to the EU and truly implement the process of European integration as a serious country."
VukićVanja,"Vukić, Vanja",Socijalistička partija Srbije,M,1978,FOR,"The existing Law on Police was adopted in 2005, and after numerous amendments, it is time to adopt a new Law on Police, aligned with the current needs of the state and social circumstances, which primarily pertains to the EU accession process and the ensuing negotiations. Harmonization with EU legal regulations also involves defining the intelligence-led policing model, which is included in the EU's recommendations and is regulated by this law in Article 34. This has proven effective in EU countries, where it is an integral part of police equipment in all member states, and it is necessary to align this area with EU regulations."
VučkovićNataša,"Vučković, Nataša",Demokratska stranka,F,1967,AGAINST,"The three laws we are discussing today fall under Chapters 23 and 24, and everyone involved in European integration or following the negotiation process with the EU knows that these are the areas where we face the most obstacles. It is important to note that we have passed many laws in various areas that may have been good and received positive opinions from the European Commission, but in numerous areas where we have enacted new laws, the situation has actually worsened. We all praised the media laws when they were passed; they were highly praised by the European Commission, but in practice, in what is daily political practice, we constantly see threats to media freedom and the right to objective information. This has been one of the most serious criticisms in the European Commission's annual report on Serbia's progress for the third, if not fourth, year in a row, and it does not mention any progress."
ČapoDejan,"Čapo, Dejan",Liga socijaldemokrata Vojvodine,M,1978,NEUTRAL,"It is a good starting point and is based on the experiences of many laws from European countries that deal with this topic, but this infringement on the rights of others can be interpreted in multiple ways."
