Speaker_ID,Speaker_name,Speaker_party_name,Speaker_gender,Speaker_birth,Stance,Relevant_Speech
PerićSreto,"Perić, Sreto",Srpska radikalna stranka,M,1959,PROTIV,"Vidite, seme pokušaja razdora Srbije, nije stiglo iz Vojvodine, to je od naših vekovnih, tradicionalnih neprijatelja, kao što su EU, kao što je NATO-pakt, kao što su još neke druge zemlje, države, a našli su izvođače tamo u toj maloj šačici ili grupici ljudi koji žele da rade na tome."
ŠarovićNemanja,"Šarović, Nemanja",Srpska radikalna stranka,M,1974,PROTIV,"Evropska unija nas je bombardovala, vodeće zemlje EU su nas bombardovale, NATO pakt nas je bombardovao, a vi uporno, i vaša Vlada, trčite njima u zagrljaj, servilni ste, ispunjavate uslove i nanosite štetu svim građanima Srbije."
JovanovićNataša,"Jovanović, Nataša",Srpska radikalna stranka,F,1966,PROTIV,Naša tek rođena deca i nažalost i mnogi stariji ljudi od posledica zlikovačkog NATO bombardovanja gube glavu i formirana je komisija koja je i došla do sasvim izvesnih naučnih tvrdnji i tom smislu.
SavićNikola,"Savić, Nikola",Srpska radikalna stranka,M,1959,PROTIV,"Dalje, u nekim našim ministarstvima kao što je Ministarstvo odbrane imamo kancelarije NATO pakta koji tu rade i pod kojim uslovima i zbog čega su oni baš tamo, ako već mora takva kancelarija da postoji, a mi smo u SRS izričito protiv toga, onda svakako to je nešto što ne sme da se nađe u prostorijama nadležnog ministarstva."
DrecunMilovan,"Drecun, Milovan",Srpska napredna stranka,M,1957,ZA,"Trenutno, na međunarodnom planu se odvija žestok geopolitički sukob između SAD, NATO-a s jedne strane i Ruske Federacije s druge strane. NATO je stvorio novu vrstu gvozdene zavese na zapadnim ruskim granicama, privukao stotine hiljada vojnika, hiljade aviona, brodova, tenkova, oklopnih vozila. Zato je bitno da naše aktivnosti budu i te kako usmerene ka SAD, ka NATO-u, ka EU, ka Nemačkoj i drugim zemljama."
RističevićMarijan,"Rističević, Marijan",Narodna seljačka stranka,M,1958,PROTIV,"Daleko više nego što je poginulo u agresiji NATO pakta. U svirepoj i zločinačkoj agresiji NATO pakta poginulo je između dve i tri hiljade ljudi, uključujući vojnike i civile. Dvadeset dve hiljade tona bombi NATO pakta nisu nam mogle naneti toliko žrtava koliko stranka bivšeg režima, time što nije izgradila puteve, već je krala i novac iznosila na Kukova i druga ostrva."
ŠešeljAleksandar,"Šešelj, Aleksandar",Srpska radikalna stranka,M,1993,ZA,"Zemlje u kojima je vladao komunizam na ovaj ili onaj način su morale prvo da postanu članovi NATO pakta, pa onda tek da budu članovi EU. Dakle, prvo ćemo morati da uđemo u NATO pakt, kao što je i Hrvatska i Rumunija, i Bugarska, i Mađarska, i Poljska i sve ostale zemlje koje su postale članovi EU. Što se tiče NATO pakta, mi moramo da postanemo članovi NATO pakta da bismo ušli u EU, a primeri Austrije, Švedske i Finske nisu primeri za poređenje sa Srbijom, budući da su to države u kojima nikad nije vladao komunizam i nisu imali tu potrebu da iskazuju lojalnost EU, tj."
ŠešeljAleksandar,"Šešelj, Aleksandar",Srpska radikalna stranka,M,1993,ZA,"Svaka postkomunistička zemlja u Evropi je pre svega morala da postane član NATO pakta da bi postala član EU. Primeri kao što su primer Austrije, Švedske ili Finske ne mogu da se odnose na Srbiju, jer te zemlje nisu članovi NATO pakta, ali ti nisu ni bili pod socijalizmom, tj. Moraće Srbija, pre svega, da postane član NATO pakta."
SavićNikola,"Savić, Nikola",Srpska radikalna stranka,M,1959,PROTIV,"Sve ono što smo danas čuli u vezi ove teme najbolji je dokaz da Srbija treba da preispita svoj evropski put, ako ni zbog čega drugog, ono zbog činjenice da članstvo u EU sa sobom neminovno povlači i članstvo u NATO-u, pre ili kasnije. Eventualnim ulaskom u NATO, Srbija bi ušla u društvo razbojnika i možemo se osvrnuti i pogledati šta su naši susedi, Bugarska, Rumunija, Crna Gora, Severna Makedonija, dobili članstvom u NATO-u? Varaju se svi oni koji smatraju da ulaskom u NATO da će dobiti zaštitu. NATO nije stvoren da bi nekoga štitio, nego da bi nekome pretio. Tu ne mislim na one zemlje koje su sami osnivači NATO, od početka članice NATO. Engleska koja je jedna od glavnih članica NATO na Kipru poseduje svoje baze. Čak je sad NATO i deo Evropske unije. Niko od tih članica NATO nije prstom mrdnuo da zaštiti taj narod i da vrati suverenitet Kipru na čitavoj njihovoj teritoriji."
ŠešeljAleksandar,"Šešelj, Aleksandar",Srpska radikalna stranka,M,1993,PROTIV,"Onaj stepen saradnje koju danas ima Srbija sa NATO, tj. To ne možemo isto da kažemo za EU i za NATO pakt. Podsetiću vas da su sve istočne evropske zemlje u kojima je bio nekada socijalizam pre svega morale da postanu članovi NATO pakta da bi postali članovi EU, a kada je evropska perspektiva, tj. to više danas i ne postoji, izgubila značaj, onda samo članovi NATO pakta, kao što je to slučaj sa Albanijom i sa Crnom Gorom. To je realnost, ne zbog neke potrebe bezbednosti, nego to se dešava isključivo da bi te neke zemlje pokazale omaž, izraz lojalnosti prema NATO paktu, prema tom svojevrsnom okupatoru i da budu zajedno u frontu protiv Rusije. I Rumunija i Bugarska i ostali članovi EU samo zato što su postali članovi NATO pakta i sve iz razloga da NATO pakt izađe na Crno more. Danas je to realnost u Srbiji i u skladu sa tim mi treba da razmišljamo o alternativama u tom putu, o planu B, o budućnosti naše zemlje, o bezbednosti naše zemlje i naših građana, a to ni u jednom momentu nećemo biti u stanju da postignemo sarađujući sa NATO paktom na bilo koji način."
ŠešeljAleksandar,"Šešelj, Aleksandar",Srpska radikalna stranka,M,1993,PROTIV,"Što se tiče saradnje sa NATO-om, nikad se nismo zalagali za NATO integracije. Mi smo uvek bili najveći protivnici NATO integracija. Nismo mi potpisali IPA i SOFA sporazume kojima se NATO vojnicima daje diplomatski status da imaju takav status koji nije bio predviđen za nemačke vojnike tokom Drugog svetskog rata i Trojnim paktom. Danas takav status imaju NATO vojnici u Srbiji. Toga toliko o NATO integracijama i ko se za NATO zalaže."
ŠevarlićMiladin,"Ševarlić, Miladin",Srpski pokret Dveri,M,1949,PROTIV,"Bio sam mentor postdoktorskog usavršavanja koleginici, nije iz zemlje EU, ali iz zemlje koja je članica NATO pakta, ali ne podržavam uopšte NATO pakt."
MarinkovićVladimir,"Marinković, Vladimir",Socijaldemokratska partija Srbije,M,1976,ZA,"Isto tako želim da kažem da je vrlo važna saradnja koju Vojska Srbije ima i sa NATO paktom ili ODKB i sjajna je vest što će Vojska Srbije sledeće godine imati vojnu vežbu i sa odbrambenim snagama Narodne Republike Kine, pošto ako imamo situaciju da imamo šest milijardi evra investicija kineskih kompanija u Srbiji, ako učimo od njih u oblasti građevine, u oblasti izgradnje infrastrukture, izgradnji železničke infrastrukture, upravljanja fabrikama, a pokazali su, s obzirom da imaju privredni rast u proteklih 10 do 15 godina od sedam pa do 10%, da su sjajni u tome i da jako velikom brzinom napreduju u tom aspektu privrednog, ekonomskog i vojnog razvoja pokazali su da imamo šta raditi sa Kinom, usko sarađivati i naravno sve čestitke na tome što smo uspostavili tako blisku i dobru vojnu saradnju. S tim što naravno jako je važna saradnja naše Vojske i sa NATO paktom, sa Nacionalnom gardom Ohaja, pogotovo u oblasti vanrednih situacija i upravljanja krizama i rizicima u oblasti vanrednih situacija."
VukadinovićĐorđe,"Vukadinović, Đorđe",Demokratska stranka Srbije,M,1962,PROTIV,"Nemojte ubeđivati mene, gospodine ministre, da ne treba ući u NATO pakt i ja to, takođe, mislim i zalažem se protiv toga. U vašoj vladajućoj većini, koaliciji ima onih koji se vrlo zdušno zalažu za ulazak u NATO pakt, i to znamo vi, ja i Bog."
VulinAleksandar,"Vulin, Aleksandar",Pokret socijalista,M,1972,ZA,"Upravo zbog toga, primetićete, ako ste pažljivo čitali, da se po prvi put u ovom dokumentu, osim pominjanja naše saradnje sa NATO paktom kroz Partnerstvo za mir, što smatramo optimalnim nivoom naše saradnje"
