Speaker_ID,Speaker_name,Speaker_party_name,Speaker_gender,Speaker_birth,Stance,Relevant_Speech
AntićZoran,"Antić, Zoran",Srpska napredna stranka,M,1962,ZA,"Želim da kažem da je izuzetno dobro ili ja bar imam takav utisak, da ministarstvo policije konstantno unapređuje sam rad policije, da se u nekoliko izmena i dopuna zakona do sad smo imali nove organizacione jedinice, nove procedure, nove mehanizme u samom ministarstvu i da se korak po korak ministarstvo policije približava onim civilizovanim vrednostima kakve imamo danas u EU. Brze su promene u ovoj oblasti, brze su promene i u samoj EU, jer se bezbedonosni izazovi jako brzo usložavaju. Oni u svakom slučaju zavise, pre svega, kada je u pitanju spoljni faktor od svega onog što se dešava na Bliskom istoku, što se dešava na jugozapadu Azije, što se dešava u samoj Africi i isti su problemi za EU i za Srbiju i prioriteti su nam isti. To je u svakom slučaju, borba protiv organizovanog kriminala i korupcije, to je veća bezbednost građana, to je rad sa lokalnim zajednicama, reforma institucija i evropskih integracija. Naravno da kada su u pitanju evropske integracije, otvaranje poglavlja 24, mi imamo obavezu da izvršimo strateške procene, pre svega u ovom trenutku u oblasti organizovanog kriminala, ali ima još dosta toga na tom putu i ovaj zakon stvara jedan institucionalni okvir da sve one obaveze koje smo preuzeli prema EU, prema integracijama koje nas očekuju, na najbolji način i sprovedemo."
BanacGrozdana,"Banac, Grozdana",Partija ujedinjenih penzionera Srbije,F,1951,ZA,"Vi ste to savršeno i u duhu 21. veka i uradili, što mi je jako drago, što ste uskladili sve sa evropskim standardima koji su neophodni da bi mogli civilizacijski, naravno, dalje da napredujemo."
FilipovskiDubravka,"Filipovski, Dubravka",Nova Srbija,F,1967,NEUTRALNO,"Prilikom izrade zakona Radna grupa je sarađivala i sa mnogim nevladinim organizacijama, sindikatima, međunarodnim institucijama, a pre svega sa OEBS-om i Savetom Evrope."
IlićStošićBiljana,"Ilić Stošić, Biljana",Srpska napredna stranka,F,1964,NEUTRALNO,"Uprkos svesnog ignoraciji činjenice da se predlozi zakona kreiraju u skladu sa evropskom agendom, u javnosti se svesno ubacuju dezinformacije o navodnom sužavanju ličnih i svih drugih prava građana, naročito tokom rasprave o Zakonu o javnim okupljanjima."
JovanovićNeđo,"Jovanović, Neđo",Socijalistička partija Srbije,M,1962,ZA,"Naravno da je ova koalicija i ova vlast kao odgovorna vlast učinila mnogo, da je uvela Srbiju pred vrata Evrope kroz čija vrata će Srbija sigurno i ući i nesumnjivo je da sve ono što nije urađeno upravo u tom periodu od 2008. do 2012. godine je urađeno sada."
KovácsElvira,"Kovács, Elvira",Savez vojvođanskih Mađara,F,1982,ZA,"Poštovana predsednice, predsedništvo, gospodine ministre sa saradnicima, dame i gospodo narodni poslanici, najpre bih u ime poslaničke grupe SVM želela da pohvalim MUP, odnosno temeljni rad na Predlogu zakona o policiji uz uvažavanje mišljenja svih relevantnih aktera, između ostalog, kako Saveta Evrope, tako i OEBS, i same stručne javnosti. Upravo cilj poštovanja načela jednake dostupnosti radnih mesta, jedno od aktivnosti akcionog plana za pregovaranje poglavlja 23. sa EU, konkretno kaže, predviđa, da će se poseban akcioni plan za implementaciju normativnog okvira za zaštitu nacionalnih manjina, posebnu pažnju posvetiti, između ostalog jačanju napora da se garantuje sveobuhvatna primena ustavnog načela odgovarajuće zastupljenosti u širem javnom sektoru, širenjem preferencijalnih kriterijuma za pripadnike manjinskih zajednica, kao što smo ovde spomenuli, uključujući i znanje jezika nacionalne manjine prilikom zapošljavanja i ovaj poseban akcioni plan bi trebalo da bude usvojen na Vladi Republike Srbije ovih dana ili ovih nedelja. Pozdravljamo svakako što su prihvaćene mnoge primedbe stručne javnosti, iznesene prilikom javne rasprave o ovom predlogu zakona i uvažene su i pretočene u Predlog zakona o javnom okupljanju, posebno imajući u vidu one primedbe koje su u skladu sa aktivnostima koje su planirane i u Akcionom planu za prigovaranje Poglavlja 23 sa EU. Značajno je da je Predlog zakona o javnom okupljanju usklađen sa preporukama Venecijanske komisije i Odeljenja za demokratizaciju i ljudska prava OEBS-a, kao i sa relevantnim konvencijama, Evropskom konvencijom za zaštitu ljudskih prava i osnovnih sloboda i Poveljom o osnovnim pravima u EU. Sloboda javnog okupljanja, budimo realni, nažalost, nema još razvijenu tradiciju u Republici Srbiji, za razliku od mnogih drugih evropskih zemalja, gde je ta sloboda duboko ukorenjena u demokratskoj tradiciji."
MarinkovićVladimir,"Marinković, Vladimir",Socijaldemokratska partija Srbije,M,1976,ZA,"Posebno bih istakao vaš liberalan odnos prema sindikalnom organizovanju i jedan potpuno pohvalan odnos prema Konvenciji i poštovanju Konvencije 87, Konvencije 98, Međunarodne organizacije rada i naravno Evropske socijalne povelje koja predstavlja condition sine qua non, razvoja odnosa, međuljudskih odnosa i odnosa između uprave i zaposlenih u jednoj instituciji, organizaciji ili preduzeću. Moram posebno da istaknem da je Srbija jedina zemlja u Evropi u kojoj funkcioniše poseban kolektivni ugovor za policiju i to je upravo onaj rezultat koji se definiše u stalnom dijalogu sa zaposlenima u policiji, koji za svoj cilj ima dolazak do najboljih mogućih rešenja i do maksimalno dobrog funkcionisanja policije i definisanja jedne jasne, dobre i kvalitetne, bezbednosne politike, koja je na kraju krajeva, i uslov za dobru ekonomsku politiku, i uslov za sveopšti ukupni ekonomski i društveni razvoj. Ni toga nema ni u jednoj razvijenoj zemlji EU, nema ni u SAD."
MiladinovićStefana,"Miladinović, Stefana",Socijalistička partija Srbije,F,1981,NEUTRALNO,"U Evropi postoje različiti pristupi, kada je prostitucija u pitanju, od potpune kriminalizacije, delimične dekriminalizacije do potpune legalizacije."
MilićevićĐorđe,"Milićević, Đorđe",Socijalistička partija Srbije,M,1978,ZA,"To po našem mišljenju jeste osnov i preduslov za borbu za bolju i evropsku budućnost i u toj borbi, podršku po našem mišljenju treba da da čitavo društvo. Kada je reč o Predlogu zakona o javnom okupljanju, rekao bih da je potpuno jasno, potpuno evidentno da imamo jedan liberalniji zakon koji jeste u skladu sa evropskim standardima."
ObradovićMarija,"Obradović, Marija",Srpska napredna stranka,F,1974,ZA,"Naravno, vreme donosi nove izazove i neke nove pretnje, ali i nova očekivanja građana i radna grupa je pisala ovaj zakon po ugledu na razvijene evropske zemlje, kako su oni organizovali rad u službama bezbednosti. Vrlo je važno da se policijski poslovi osavremenjuju protokom vremena i da evropski standardi ulaze u naše propise i sada nastaju neke nove vrste poslova koji se sada obavljaju na sasvim drugačiji način. Zato mi nije jasno ali pričaćemo i u delu kada budemo govorili o pojedinostima, zbog čega ovoliki otpor za jedno rešenje koje je tako dobro urađeno po ugledu na zemlje Evrope, koje su to uradile mnogo pre nas i koje nas i primoravaju na ovakvu vrstu zakona tokom evropskih pregovora."
