Speaker_ID,Speaker_name,Speaker_party_name,Speaker_gender,Speaker_birth,Stance,Relevant_Speech
AntićZoran,"Antić, Zoran",Srpska napredna stranka,M,1962,PROTIV,"Znači, pre svega, bezbedonosni rizici koji se tiču terorizma, zatim, koji se tiču organizovanog kriminala i najzad što se tiče migracija koje su sve ozbiljnije iz meseca u mesec i donose veliki broj rizika."
MilićevićĐorđe,"Milićević, Đorđe",Socijalistička partija Srbije,M,1978,NEUTRALNO,"Ono što je za nas veoma važno u periodu migrantske krize, sačuvana je stabilnost, sigurnost i bezbednost na našoj teritoriji."
StojkovićDušica,"Stojković, Dušica",Srpska napredna stranka,F,1979,ZA,"Da mi to možemo, to pokazuje naša srpska policija svakog dana na način na koji se suočava sa migrantskom krizom i okolnostima koje su dovele do nje. Srpski policajci danas pokazuju jedan humani odnos prema migrantima koji prolaze kroz našu zemlju, što vam ovom prilikom i javno čestitam."
ĐurovićAleksandra,"Đurović, Aleksandra",Srpska napredna stranka,F,1976,NEUTRALNO,"Način na koji se Ministarstvo unutrašnjih poslova suočilo sa problemom migrantske krize je zaista za svaku pohvalu, imajući u vidu da je preko naše zemlje prešlo preko 600.000 migranata, a da nije zabeležen nijedan incident sa domaćim stanovništvom, takođe, niko od građana Srbije nije se osećao ugroženo ni u jednom trenutku."
HalimiRiza,"Halimi, Riza",Partija za demokratsko delovanje,M,1947,NEUTRALNO,"Nakon početnog haosa bio je uspostavljen red, time što su autobusi različitih prevoznika čekali u koloni da bi preuzimali putnike migrante."
HalimiRiza,"Halimi, Riza",Partija za demokratsko delovanje,M,1947,PROTIV,"Međutim, i u ovim situacijama kada dnevno po nekoliko hiljada izbeglica prolazi kroz Preševo, sa dosta kolateralnih šteta i u poljoprivredi i u oblasti očuvanja ambijenta i u drugim životnim oblastima, ova opština u kojoj se sve dešava, a budući da je njena lokalna samouprava totalno marginalizovana, ona će kao i u toku prethodnog međunarodnog embarga postati još degradiranija i devastiranija. Zatim, zašto se nije ozbiljnije radilo u ojačavanju kapaciteta komunalnog preduzeća, umesto što se dovode komunalna preduzeća iz drugih opština da reše ove aktuelne probleme i zašto nije ojačan dom zdravlja koji je takođe prvi koji bi morao da da neophodnu pomoć u nastaloj situaciji sa migrantima?"
MarinkovićVladimir,"Marinković, Vladimir",Socijaldemokratska partija Srbije,M,1976,NEUTRALNO,"Isto tako moram da napomenem dobru ulogu Srbije kada je u pitanju migrantska kriza, kada je u pitanju regionalna saradnja i to je ono što definiše Srbiju kao jednu zemlju koja više nije na stolu međunarodnih foruma, nego je Srbija danas zemlja koja predstavlja deo rešenja, koja nudi rešenja koja jako konstruktivna i koja u svakom slučaju definiše bolju poziciju naše zemlje koja se odražava i bezbednosnu politiku. Vidimo, da iako nema direktnih pretnji za našu zemlju, za naš region, gotovo ceo svet se bavi pitanjem međunarodnog terorizma, migrantskom krizom i upravo odgovor na pitanje, kada će se ta kriza rešiti, kada će se doći do jednog trajnijeg mira, do jednog fokusiranja na ekonomsku krizu, na ekonomska pitanja, na pitanja časti i dostojanstva običnih ljudi, upravo leži u tome kako će se velike sile i veliki vojni savezi izboriti sa problemima koji se danas dešavaju na Bliskom istoku."
MartinovićAleksandar,"Martinović, Aleksandar",Srpska napredna stranka,M,1976,ZA,"Time je Republika Srbija, pa i Ministarstvo odbrane pokazalo humanost, pokazalo solidarnost i pokazali smo kao država da smo spremni da učestvujemo u rešavanju problema migranata, izbeglica, mnogo više nego države koje su formalne članice EU."
MihajlovićMiletić,"Mihajlović, Miletić",Socijalistička partija Srbije,M,1951,NEUTRALNO,"Danas se Srbija nalazi pred stalnim bezbednosnim izazovima i rizicima u sklopu svega onoga što se dešava, pa i u okviru migrantske krize."
VučićAleksandar,"Vučić, Aleksandar",Srpska napredna stranka,M,1970,NEUTRALNO,"Vi znate da se mi nalazimo u ne lakoj, u ne jednostavnoj situaciji i zbog migrantske krize. Mislim da je to važno da bez ikakvih turbulencija se prođe jedan ne lak, ne bih da govorim teže reči, period za nas, posebno što još ne znamo šta će biti rezultat susreta u Briselu 7. marta, na Samitu EU povodom migrantske krize. To se očekuje kao neka vrsta njihove osme sednice i konačne odluke o tome kojim putem će oni da krenu u rešavanje problema oko migrantske krize."
ČotrićAleksandar,"Čotrić, Aleksandar",Srpski pokret obnove,M,1966,ZA,"Naravno da, Vlada Srbije je u međunarodnim krugovima pravilno procenjena, kao faktor stabilnosti u regionu i da nikakve zapaljive izjave sa naše strane nisu dolazile, već je naprotiv Vlada Srbije posvećena procesu pomirenja u regionu i suočavamo se, dakle kao čitav kontinent sa velikom izbegličkom, migrantskom krizom, što je izazov koji možda u jednom trenutku prevaziđe i nadležnost i mogućnosti civilnih vlasti i pripadnika Ministarstva unutrašnjih poslova, zbog čega će biti potrebno i reagovanje oružanih snaga, odnosno Vojske Republike Srbije. Ohrabruje što EU upućuje pohvale Vladi Republike Srbije kako se mi nosimo sa ovom najvećom izbegličkom krizom, posle Drugog svetskog rata i zaista sve pohvale za nadležne u Vladi Republike Srbije koji sve čine da migranti, ti nesrećnici, izbeglice koji se nalaze na tlu Srbije dobiju svu potrebnu pomoć i kada je reč o smeštaju, o hrani i novčanoj pomoći i lepoj reči, što mnogo znači ovim ljudima i što oni stalno ističu i kada stignu u zemlje koje su njihovo odredište."
MarkovićDragan,"Marković, Dragan",Jedinstvena Srbija,M,1960,ZA,"Kada je u pitanju Velika Britanija, mi vrlo dobro znamo kako je Velika Britanija naklonjena prema Srbiji, Turska i azilanti. Srbija je bila jedna od najgostoprimivijih država gde su azilanti prolazili u tranzitu. Kada sam kod azilanata, želim da pohvalim našu policiju i vojsku, koja se nije ponašala kao policija i vojska Hrvatske i Mađarske, i da tuku azilante."
MijatovićMilorad,"Mijatović, Milorad",Socijaldemokratska partija Srbije,M,1947,NEUTRALNO,"Imamo migrantsku krizu koja potresa Evropu, a Srbija daje prave odgovore na migrantsku krizu."
ObradovićBoško,"Obradović, Boško",Srpski pokret Dveri,M,1976,PROTIV,"I, treća stvar koja zaista, mislim da se oko toga svi slažemo, ovih dana je doživela jedan svoj svojevrsni vrhunac jeste migrantska kriza. Kada ćemo mi kao Narodna skupština Republike Srbije raspravljati o opasnostima koje donosi migrantska kriza, o svemu onome što se dešava u poslednje vreme kada imamo u vidu da je sam premijer rekao da ne zna šta da radi sa više hiljada migranata koji su se zadesili u našoj državi, a koji su već počeli da pljačkaju, da pokušavaju da siluju, da šetaju po državi kako hoće i rade šta hoće? Mi ćemo kao poslanička grupa u svakom slučaju inicirati tu temu na različite načine, ali jeste zaista molba da Narodna skupština Republike Srbije, a zašto da ne, takođe predsedniku Vlade Republike Srbije da čitav njegov kabinet bude ovde sa nama i da zajednički raspravimo šta nam je činiti po sve opasnijim posledicama migrantske krize po bezbednost građana Srbije."
StevanovićAleksandar,"Stevanović, Aleksandar",Dosta je bilo,M,1976,NEUTRALNO,"Neke smo odgovore našli u toku, bukvalno uhodu, kao što je bila migrantska kriza, ali izazovi se postavljaju i mi moramo imati strategiju i moramo imati odgovore na sve moguće izazove koji se mogu javiti pred Srbijom."
KonstantinovićNenad,"Konstantinović, Nenad",Socijaldemokratska stranka,M,1973,ZA,"Poštovani predsedavajući, dame i gospodo narodni poslanici, ja postavljam pitanje premijeru Vlade Republike Srbije gospodinu Aleksandru Vučiću, a pitanje zašto je Vlada Republike Srbije i zašto je on odustao od svoje politike upravljanja migrantskom krizom u Republici Srbiji? Naime, juče je država ukinula info-centar za azil koji se nalazio u centru Beograda. Info-centar za azil je osnovan 2015. godine kada se veći broj izbeglica pojavio u centru Beograda i nalazi se do dana današnjeg. Tada se Vlada Republike Srbije na svom sajtu prilikom otvaranja tog info-centra hvalila kako je to najbolji način da se država suočava i suoči sa migrantskom krizom. Juče je taj info-centar ukinut i na taj način je država odlučila da migrante, izbeglice koji se nalaze u centru Beograda, prepusti isključivo krijumčarima da oni sa njima dalje rešavaju njihovu sudbinu i njihov put. Ovaj info-centar je imao 37 volontera i zaposlenih prevodioca koji su prevodili na persijski, arapski i urdu jezik i imao je poverenja kod izbeglica i migranata koji se nalaze u parku kod železničke stanice. Policija i bezbednosne službe su na osnovu tih informacija reagovale i sprečavale činjenje krivičnih dela i onih koje se odnose na krijumčarenje i eventualnih krivičnih dela koje bi počinio neko iz zajednice migranata i izbeglica. Od početka migrantske krize na tlu Evrope nestalo je 10.000 dece. Ono što je bila pretpostavka i osnovana sumnja da se uzimaju otisci prstiju neovlašćeno izbeglicama, zato da bi se uzeo DNK-a i da bi se uporedila njihova mogućnost za doniranje, odnosno davanje organa onima koji u Evropi te organe traže. Ne mogu da razumem da država seče sama svoju ruku, a koja joj omogućava da kontroliše situaciju sa migrantima u gradu Beogradu, koja ukida jednu službu koja sve migrante upućuje, prevozi i tera u smeštajne kapacitete koje je organizovala Republika Srbija, na primer u Krnjači."
PaunovićSnežana,"Paunović, Snežana",Socijalistička partija Srbije,F,1975,NEUTRALNO,"O izuzetno dobroj saradnji ove dve naše zemlje govori i podatak da je tokom skorašnje migrantske krize Koreja aktivno pomagala Srbiji, koja je bila jedna od najopterećenijih zemalja na zapadno-balkanskoj ruti, sa velikim prilivom migranata, koji su se kod nas duže zadržavali zbog nemogućnosti da idu dalje."
KrasićZoran,"Krasić, Zoran",Srpska radikalna stranka,M,1956,PROTIV,"Svi su nezadovoljni, ne samo zbog ove migrantske krize, nego uopšte zbog ogromne krize u EU."
AtlagićMarko,"Atlagić, Marko",Srpska napredna stranka,M,1949,NEUTRALNO,"Poštovane dame i gospodo, poštovani građani Srbije, vama se obraćam, Republika Srbija je zajedno sa Vladom Republike Srbije, Vojskom i policijom odlično rešila migrantsku krizu na zadovoljstvo svih građana Republike Srbije, čitavog sveta i time je pokazala pravo lice Republike Srbije svetu."
MiladinovićStefana,"Miladinović, Stefana",Socijalistička partija Srbije,F,1981,NEUTRALNO,Ovo je izuzetno značajno za Srbiju i posebno jer smo kao tranzitna zemlja jedno od najopterećenijih država kada je u pitanju migrantska kriza.
MirčićMilorad,"Mirčić, Milorad",Srpska radikalna stranka,M,1956,PROTIV,"Nije ovo neki velik korpus, brojčano nije velik korpus, pa možemo ovako da razgovaramo, ali možemo simbolično da damo do znanja da ne želimo da učestvujemo u misijama EU gde bi naši visoki oficiri ili visoki predstavnik vojske nadgledao migrantsku krizu na Mediteranu, a ta ista Evropa prstom ne mrda, niti je interesuje ovoliki broj migranata u Srbiji."
MrdakovićTodorovićLjubica,"Mrdaković Todorović, Ljubica",Srpska napredna stranka,F,1962,NEUTRALNO,"Brojni su izazovi sa kojima se pojedine zemlje suočavaju, počev od oružanih sukoba sa višedecenijskim trajanjem, preko delovanja raznih terorističkih grupa, pirata na otvorenim morima, migrantske krize koja zahvata milione ljudi, kako one koji su krenuli put migracije, tako i one kroz čije zemlje te kolone migranata prolaze."
NogoSrđan,"Nogo, Srđan",Srpski pokret Dveri,M,1981,NEUTRALNO,"Vi dobro znate da je Srbija izložena velikoj migrantskoj krizi, da je dobar deo te migrantske krize prouzrokovan događajem u Siriji. Mada su sadašnji migranti, većinom, koji se nalaze na našoj teritoriji, nastali iz nekih prethodnih mirovnih operacija, pod znacima navoda, ovih istih sila koje pominjemo u Avganistanu i nekim drugim državama. Da li Srbija ima kapacitet da učestvuje u mirovnim misijama, s obzirom na brojno stanje naše vojske i na materijalnu opremljenost naše vojske, kada smo izloženi tako velikom izazovu kao što je migrantska kriza?"
ObradovićBoško,"Obradović, Boško",Srpski pokret Dveri,M,1976,PROTIV,"U vremenu kada Evropom vlada ogromna migrantska kriza, kada ne možemo da kontrolišemo sopstvene granice, imamo hiljade migranata koji nam ulaze nezakonito na teritoriju naše države i kada bi mnogo više trebali da posvetimo pažnju rešavanju tog problema, gospodine ministre, a ne da mi rešavamo belosvetske ratne i druge probleme? To nije ključna i osnovna uloga Vojske Srbije da mi rešimo probleme u mirovnim operacijama u 20 država sveta, ali da zaštitimo granicu države Srbije da nijedan migrant ne uđe i time zaštitimo bezbednost građana Srbije to jeste zadatak Vojske Srbije. Želim takođe da posebno stavim akcenat na ovu migrantsku krizu i da li možda treba da razmislimo da smanjimo kontigent naših vojnika u mirovnim operacijama, ako vi to već izglasate, a mi smo protiv toga, jer jednostavno, obratite pažnju na ogromnu migrantsku krizu, koja ozbiljno ugrožava bezbednost naših granica, a to je ipak prioritet u vašem radu."
ZagrađaninVladan,"Zagrađanin, Vladan",Socijalistička partija Srbije,M,1968,NEUTRALNO,"Ova misija će i za Srbiju imati veliki značaj, imajući u vidu da smo migrantskom krizom jedna od najopterećenijih država, jer se nalazimo na najprometnijoj zapadno-balkanskoj migrantskoj ruti."
ĐorđevićZoran,"Đorđević, Zoran",Srpska napredna stranka,M,1970,NEUTRALNO,"Druga nova misija EU sadržana je u Predlogu godišnjeg plana upotrebe Vojske i drugih snaga odbrane u multinacionalnim operacijama u 2016. godini i operacija EUna Mediteranu, pokrenuta sa ciljem ublažavanja posledica i rešavanjem migrantske krize u Evropi, imajući u vidu da se Srbija nalazi u jednoj od glavnih ruta velikog talasa migranata koji odlučujući u navedenoj operaciji nastavićemo da delujemo kao odgovoran član Međunarodne zajednice i da pratimo aktuelna dešavanja u širem regionu i planove Međunarodne zajednice u cilju rešavanja migrantske krize u Evropi."
ĐurovićAleksandra,"Đurović, Aleksandra",Srpska napredna stranka,F,1976,NEUTRALNO,"Kada pričamo o učešću u misiji na Mediteranu, cilj je ublažavanje posledica i rešavanjem migrantske krize u Evropi. Jasno je da se Srbija nalazi na jednoj od glavnih ruta, kojima migranti se kreću, i jasno je da i na ovaj način Srbija pokazuje svoju volju da bude aktivan partner u Evropi, EU u pogledu načina rešavanja migrantske krize. Migracije koje su se desile su negativno uticale i na bezbednost lica koja prolaze i kroz našu zemlju. Nismo imali nikakvih incidenata u tom smislu za razliku od mnogih drugih zemalja u kojima su takođe migranti bili i prolazili ili su stigli. Odlukom Vlade Srbije od jula meseca ove godine formirana je komanda zajedničkih snaga za obezbeđenje državne granice, čime su se stvorili faktički formalni uslovi da Vojska Srbije bude angažovana u zaštiti državne granice po pitanju migrantske krize. Mogli smo da vidimo da je veliki broj ilegalnih migracija sprečen od tada do sada."
BožovićBalša,"Božović, Balša",Demokratska stranka,M,1983,NEUTRALNO,"Ne možemo da pričamo ovde o nekim teorijama zavere, kako su neki migranti u Srbiji u budućnosti problem i kako ćemo donositi nekakvo zakonodavstvo zbog njih."
KuburovićNela,"Kuburović, Nela",Srpska napredna stranka,F,1982,NEUTRALNO,Nedozvoljeni prelasci granice i krijumčarenje ljudi znatno su učestali od početka migrantske krize.
